,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,IN_TREINEIRO,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q005,Q006,Q025,Q026,Q027,Q028,Q046,Q047
50,3545209,Salto,35,SP,17,F,0.0,2,1,2,0,2,0,1,1,1,1,434.9,475.2,546.8,355.6,0,1.0,580.0,C,C,7,I,B,C,D,C,B,A
51,1600600,Santana,16,AP,23,M,1.0,3,1,1,5,1,0,1,1,1,1,438.4,441.4,507.0,401.6,1,1.0,440.0,D,D,7,B,A,A,Z,F,A,A
52,3529401,Mauá,35,SP,18,M,0.0,3,1,1,1,1,0,1,1,1,1,367.1,526.4,532.0,492.8,0,1.0,600.0,E,D,5,H,B,C,C,E,A,A
53,3301009,Campos dos Goytacazes,33,RJ,22,F,1.0,2,1,1,3,1,0,1,1,1,1,393.9,492.3,517.3,407.6,1,1.0,420.0,C,E,4,C,B,B,G,E,A,A
54,5204508,Caldas Novas,52,GO,16,F,0.0,1,1,3,0,1,1,1,1,1,1,414.3,534.0,524.5,513.0,1,1.0,600.0,C,C,4,H,B,A,Z,F,C,D
55,1506807,Santarém,15,PA,27,M,0.0,3,1,1,9,1,0,1,1,1,1,477.9,484.2,489.7,604.9,1,1.0,500.0,C,D,4,D,A,B,F,E,A,A
56,3106705,Betim,31,MG,37,F,1.0,1,1,1,10,1,0,1,1,1,1,494.1,587.5,546.6,495.3,1,1.0,540.0,E,C,4,G,B,B,H,A,A,A
57,2313609,Ubajara,23,CE,17,M,0.0,3,1,2,0,2,0,1,1,1,1,391.1,570.4,511.2,397.3,1,1.0,360.0,H,C,6,B,A,A,Z,F,B,A
58,3303856,Paty do Alferes,33,RJ,18,F,0.0,1,1,2,0,2,0,1,1,1,1,405.7,476.4,464.7,344.1,1,1.0,400.0,B,E,3,D,A,A,Z,F,B,A
59,2307650,Maracanaú,23,CE,17,M,0.0,3,1,2,0,2,0,1,1,1,1,443.0,521.8,526.0,397.0,1,1.0,540.0,E,E,4,B,A,A,Z,F,B,A
60,1718204,Porto Nacional,17,TO,18,F,0.0,3,1,1,1,1,0,1,1,1,1,444.3,509.1,530.1,488.3,1,1.0,540.0,E,E,2,B,A,A,Z,F,A,A
61,3115508,Caxambu,31,MG,37,F,2.0,3,1,1,1,1,0,1,1,1,1,401.8,487.6,444.6,363.1,1,1.0,560.0,B,C,1,B,B,C,A,D,A,A
62,5300108,Brasília,53,DF,21,F,1.0,3,1,1,3,1,0,1,1,1,1,457.0,538.6,555.2,418.0,1,1.0,660.0,A,C,4,C,A,B,F,E,A,A
63,2208403,Piripiri,22,PI,32,M,1.0,3,1,1,9,1,0,1,1,1,1,475.7,547.4,483.5,503.0,0,1.0,520.0,C,C,4,B,A,B,F,E,A,A
64,1709500,Gurupi,17,TO,17,F,0.0,3,1,2,0,2,0,1,1,1,1,459.2,505.6,456.0,507.8,0,1.0,320.0,B,C,3,B,A,A,Z,F,B,A
65,2905701,Camaçari,29,BA,18,F,0.0,3,1,2,0,2,0,1,1,1,1,382.4,368.3,482.0,392.4,1,1.0,520.0,B,B,3,B,A,A,Z,F,B,A
66,5107602,Rondonópolis,51,MT,30,F,0.0,1,1,1,10,1,0,1,1,1,1,460.7,505.8,448.2,351.3,0,6.0,0.0,B,B,5,C,A,C,G,D,A,A
67,2913606,Ilhéus,29,BA,18,M,0.0,3,2,3,0,1,0,1,1,1,1,462.8,524.6,498.6,418.9,1,1.0,520.0,D,D,5,B,B,A,Z,F,C,A
68,2304954,Guaiúba,23,CE,18,M,0.0,3,1,2,0,2,0,1,1,1,1,431.1,431.7,467.8,413.0,1,9.0,0.0,H,H,6,B,A,A,Z,F,B,A
69,5107602,Rondonópolis,51,MT,20,M,0.0,1,1,1,2,1,0,1,1,1,1,413.1,541.7,564.2,421.0,1,1.0,440.0,C,D,4,G,B,C,F,D,A,A
70,3157807,Santa Luzia,31,MG,26,M,1.0,1,1,1,6,1,0,1,1,1,1,444.7,412.6,382.5,433.8,1,1.0,260.0,D,B,2,B,B,B,F,A,A,A
71,2311801,Russas,23,CE,17,F,0.0,3,1,2,0,2,0,1,1,1,1,456.7,528.5,456.5,429.0,1,1.0,580.0,A,D,5,B,A,A,Z,F,B,A
72,3550308,São Paulo,35,SP,18,M,0.0,1,1,1,1,1,0,1,1,1,1,591.8,625.3,591.7,650.0,0,1.0,760.0,G,F,4,O,B,A,Z,F,A,E
73,3539806,Poá,35,SP,42,F,1.0,1,1,1,10,1,0,1,1,1,1,510.0,543.2,575.7,496.7,0,1.0,560.0,C,C,4,G,A,B,E,A,A,A
74,4316907,Santa Maria,43,RS,20,M,0.0,1,1,4,0,1,0,1,1,1,1,435.5,557.9,530.3,487.8,1,1.0,380.0,H,H,3,G,B,A,Z,F,D,A
75,3203908,Nova Venécia,32,ES,19,F,0.0,1,1,1,3,1,0,1,1,1,1,432.7,578.4,546.8,408.4,1,1.0,540.0,C,C,2,E,A,C,B,E,A,A
76,1600600,Santana,16,AP,20,F,0.0,1,1,3,0,1,0,1,1,1,1,383.1,566.5,404.0,380.7,1,1.0,620.0,D,E,6,B,B,B,G,E,B,A
77,3550308,São Paulo,35,SP,19,F,0.0,2,1,1,2,1,0,1,1,1,1,452.7,620.1,617.7,400.0,1,1.0,640.0,H,C,3,E,B,C,B,B,A,A
78,3552205,Sorocaba,35,SP,22,F,0.0,2,1,1,5,1,0,1,1,1,1,383.2,495.6,492.3,371.1,1,1.0,520.0,B,E,3,F,B,C,C,E,A,A
79,3550308,São Paulo,35,SP,17,F,0.0,1,1,2,0,2,0,1,1,1,1,442.5,555.5,486.0,411.8,0,1.0,680.0,D,B,4,C,B,A,Z,F,B,A
80,1715754,Palmeirópolis,17,TO,17,M,0.0,3,1,2,0,2,0,1,1,1,1,390.1,577.9,455.0,575.0,0,1.0,600.0,C,B,7,E,A,B,B,E,B,A
81,3523107,Itaquaquecetuba,35,SP,17,F,0.0,1,1,2,0,2,0,1,1,1,1,471.8,535.9,555.5,408.6,1,1.0,680.0,E,F,3,G,B,A,Z,F,B,A
82,3516309,Francisco Morato,35,SP,17,F,0.0,3,1,2,0,2,0,1,1,1,1,383.7,520.6,544.7,378.4,0,1.0,360.0,B,C,6,D,B,A,Z,F,B,A
83,3555406,Ubatuba,35,SP,19,M,-1.0,0,1,2,0,2,0,1,1,1,1,541.1,557.9,576.9,457.4,0,1.0,580.0,B,D,4,G,B,B,B,E,B,A
84,3530805,Moji Mirim,35,SP,17,F,0.0,1,1,3,0,1,1,1,1,1,1,575.5,605.2,606.9,708.2,0,1.0,560.0,E,G,3,H,B,C,D,D,C,D
85,4117255,Nova Prata do Iguaçu,41,PR,18,F,0.0,1,1,2,0,2,0,1,1,1,1,454.2,433.0,485.2,445.3,1,1.0,520.0,C,C,7,E,B,B,C,C,B,A
86,3103504,Araguari,31,MG,17,F,0.0,3,1,2,0,2,0,1,1,1,1,582.2,602.8,599.4,496.1,1,1.0,840.0,C,E,2,C,B,A,Z,F,B,A
87,3170206,Uberlândia,31,MG,19,F,0.0,3,1,1,1,1,0,1,1,1,1,542.1,610.3,583.3,499.7,0,1.0,940.0,E,C,4,G,B,A,Z,F,A,A
88,2905701,Camaçari,29,BA,17,F,0.0,2,1,3,0,1,1,1,1,1,1,438.7,446.1,470.1,345.8,0,1.0,340.0,H,H,6,B,A,A,Z,F,C,A
89,2111300,São Luís,21,MA,26,F,1.0,3,1,1,9,1,0,1,1,1,1,373.7,594.7,543.0,540.2,1,1.0,640.0,B,D,4,C,A,B,F,B,A,A
90,3205150,Vila Pavão,32,ES,16,M,0.0,1,1,2,0,2,0,1,1,1,1,509.2,575.1,548.5,540.5,1,1.0,560.0,C,E,4,G,B,A,Z,F,B,A
91,3103405,Araçuaí,31,MG,19,M,0.0,2,1,2,0,2,0,1,1,1,1,477.9,569.7,529.6,408.3,0,1.0,540.0,B,B,4,C,B,A,Z,F,B,A
92,2920809,Marcionílio Souza,29,BA,27,F,0.0,3,1,1,9,1,0,1,1,1,1,490.8,543.4,562.6,399.3,1,1.0,560.0,B,E,3,B,A,B,F,B,A,A
93,2607901,Jaboatão dos Guararapes,26,PE,16,F,-1.0,3,1,3,0,1,1,1,1,1,1,516.2,507.6,444.3,363.4,1,1.0,560.0,D,D,3,C,B,A,Z,F,C,A
94,2304400,Fortaleza,23,CE,17,F,0.0,3,1,2,0,2,0,1,1,1,1,455.6,587.1,574.1,538.3,1,1.0,680.0,C,D,5,D,A,A,Z,F,B,A
95,2304400,Fortaleza,23,CE,20,F,0.0,3,1,1,3,1,0,1,1,1,1,515.6,547.1,475.5,403.9,1,1.0,520.0,E,E,2,B,A,B,F,A,A,A
96,1505809,Portel,15,PA,34,F,0.0,3,1,1,10,1,0,1,1,1,1,485.2,558.7,552.6,438.6,1,1.0,580.0,A,A,5,D,A,C,D,C,A,A
97,3513504,Cubatão,35,SP,20,M,0.0,2,1,1,2,1,0,1,1,1,1,469.5,479.9,455.6,437.1,1,1.0,520.0,E,B,2,B,B,B,D,A,A,A
98,2933307,Vitória da Conquista,29,BA,24,M,0.0,3,1,1,4,1,0,1,1,1,1,483.0,514.2,424.5,443.3,0,1.0,500.0,B,D,1,B,A,A,Z,F,A,A
99,3107307,Bocaiúva,31,MG,17,F,0.0,1,1,2,0,3,0,1,1,1,1,635.8,649.6,636.7,724.1,0,1.0,780.0,E,G,4,I,B,A,Z,F,B,D
100,2611606,Recife,26,PE,19,F,0.0,3,1,1,1,1,0,1,1,1,1,387.0,459.9,455.1,501.7,1,1.0,580.0,D,D,4,C,B,B,E,B,A,A
101,2312601,São Luís do Curu,23,CE,20,F,0.0,3,1,2,0,2,0,1,1,1,1,429.8,568.9,570.6,626.0,1,1.0,400.0,H,H,6,D,A,A,Z,F,B,A
102,3200706,Atilio Vivacqua,32,ES,17,M,0.0,1,1,2,0,2,0,1,1,1,1,435.7,533.5,544.2,405.1,0,1.0,520.0,B,E,4,D,A,A,Z,F,B,A
103,3304557,Rio de Janeiro,33,RJ,52,F,1.0,1,1,1,10,1,0,1,1,1,1,416.3,665.6,568.5,351.5,1,1.0,720.0,F,E,3,I,B,C,E,E,A,A
104,4312302,Miraguaí,43,RS,24,F,0.0,3,1,1,6,1,0,1,1,1,1,398.6,479.7,495.8,433.2,1,1.0,520.0,H,D,1,B,B,C,D,E,A,A
105,2110500,São Bento,21,MA,15,F,0.0,2,1,3,0,1,1,1,1,1,1,557.8,603.3,574.6,590.1,0,1.0,600.0,A,E,3,B,A,A,Z,F,C,A
106,2915106,Itagi,29,BA,18,F,0.0,3,1,2,0,2,0,1,1,1,1,414.4,450.5,379.6,443.7,0,1.0,440.0,B,E,4,B,B,A,Z,F,B,A
107,3168606,Teófilo Otoni,31,MG,21,M,0.0,3,1,1,2,1,0,1,1,1,1,431.9,591.1,493.4,372.2,0,1.0,540.0,C,E,4,B,B,B,G,E,A,A
108,5300108,Brasília,53,DF,19,F,0.0,1,1,1,2,1,0,1,1,1,1,653.2,703.6,623.8,664.6,0,1.0,740.0,G,F,4,N,B,A,Z,F,A,D
109,3549904,São José dos Campos,35,SP,22,M,0.0,3,4,1,2,1,0,1,1,1,1,468.5,351.0,373.0,490.2,1,1.0,440.0,E,C,8,C,B,C,F,E,A,A
110,3203205,Linhares,32,ES,21,F,0.0,3,1,1,4,1,0,1,1,1,1,436.6,511.9,569.0,420.6,0,1.0,460.0,C,C,6,B,A,A,Z,F,A,A
111,3550308,São Paulo,35,SP,21,F,0.0,3,1,1,4,1,0,1,1,1,1,512.3,486.9,516.5,416.8,1,1.0,560.0,D,E,6,C,B,B,E,D,A,A
112,5300108,Brasília,53,DF,16,F,0.0,2,1,2,0,2,0,1,1,1,1,512.0,635.0,578.5,501.0,0,1.0,520.0,E,E,4,C,B,A,Z,F,B,A
113,2304400,Fortaleza,23,CE,17,M,0.0,1,1,2,0,3,0,1,1,1,1,565.2,583.5,570.7,676.0,0,1.0,500.0,E,E,3,D,A,A,Z,F,B,E
114,3300803,Cachoeiras de Macacu,33,RJ,22,F,-1.0,3,1,1,1,1,0,1,1,1,1,416.8,550.0,488.8,456.8,1,1.0,560.0,B,B,4,C,B,B,G,B,A,B
115,5200258,Águas Lindas de Goiás,52,GO,19,M,0.0,2,1,3,0,1,0,1,1,1,1,438.1,425.9,505.5,423.9,1,1.0,260.0,H,B,4,C,A,A,Z,F,C,A
116,3549409,São Joaquim da Barra,35,SP,17,F,0.0,1,1,2,0,2,0,1,1,1,1,401.8,486.3,520.1,333.8,1,1.0,560.0,F,F,4,D,B,A,Z,F,B,A
117,3549904,São José dos Campos,35,SP,18,F,0.0,1,1,2,0,3,0,1,1,1,1,411.0,517.4,516.2,451.2,1,1.0,520.0,F,E,6,B,A,A,Z,F,B,D
118,2310852,Pindoretama,23,CE,19,F,0.0,3,1,2,0,2,0,1,1,1,1,445.7,410.3,372.0,446.1,1,1.0,500.0,B,C,5,B,A,A,Z,F,B,A
119,2107357,Nova Olinda do Maranhão,21,MA,16,F,0.0,1,1,2,0,2,0,1,1,1,1,535.4,588.2,575.1,366.9,0,1.0,480.0,B,E,4,B,A,A,Z,F,B,A
120,2507200,Itatuba,25,PB,18,F,0.0,2,1,1,1,1,0,1,1,1,1,440.8,520.9,414.6,502.8,1,1.0,680.0,C,B,5,A,A,A,Z,F,A,A
121,2918001,Jequié,29,BA,18,M,0.0,3,1,2,0,2,0,1,1,1,1,385.1,464.8,450.3,488.5,1,1.0,460.0,E,F,4,C,B,A,Z,F,B,A
122,1702901,Axixá do Tocantins,17,TO,16,F,0.0,2,1,2,0,2,0,1,1,1,1,394.0,481.4,490.2,556.7,0,1.0,480.0,A,A,3,B,A,A,Z,F,B,A
123,2606804,Igarassu,26,PE,18,M,0.0,3,1,3,0,1,0,1,1,1,1,463.9,531.2,423.4,494.4,0,1.0,400.0,E,E,2,D,B,A,Z,F,C,A
124,3157401,Santa Cruz do Escalvado,31,MG,30,F,1.0,3,1,1,1,1,0,1,1,1,1,451.5,478.7,527.2,454.3,1,1.0,420.0,A,B,6,B,A,B,E,A,A,A
125,3157807,Santa Luzia,31,MG,37,F,0.0,3,1,1,10,1,0,1,1,1,1,470.4,478.9,539.3,394.2,1,1.0,700.0,B,C,1,C,A,C,H,A,A,A
126,3205036,Vargem Alta,32,ES,17,F,0.0,1,1,2,0,2,0,1,1,1,1,428.6,622.1,495.4,509.6,1,1.0,580.0,B,G,4,H,B,A,Z,F,B,A
127,3525904,Jundiaí,35,SP,17,F,0.0,1,1,2,0,2,0,1,1,1,1,546.1,585.4,575.4,568.2,0,1.0,720.0,D,D,4,C,B,B,C,C,B,A
128,3201704,Conceição do Castelo,32,ES,17,F,0.0,1,1,3,0,1,1,1,1,1,1,532.4,532.3,497.4,415.2,1,1.0,620.0,C,D,5,C,A,A,Z,F,C,A
129,3121100,Delfim Moreira,31,MG,17,F,0.0,3,1,2,0,2,0,1,1,1,1,535.6,507.7,495.9,445.3,0,1.0,540.0,B,D,5,C,A,A,Z,F,B,A
130,5106455,Planalto da Serra,51,MT,16,M,0.0,3,1,3,0,1,1,1,1,1,1,453.9,437.0,387.0,441.9,1,1.0,280.0,D,F,5,D,B,A,Z,F,A,A
131,3304524,Rio das Ostras,33,RJ,18,M,0.0,2,1,2,0,2,0,1,1,1,1,466.0,552.1,544.3,538.3,0,1.0,480.0,E,C,7,D,B,B,D,E,B,A
132,3549102,São João da Boa Vista,35,SP,22,M,1.0,1,1,4,0,1,0,1,1,1,1,553.4,553.2,542.7,548.8,1,1.0,440.0,E,D,2,C,B,C,C,E,D,A
133,3157609,Santa Fé de Minas,31,MG,18,F,0.0,3,1,2,0,2,0,1,1,1,1,425.4,486.6,522.9,465.3,0,1.0,520.0,H,H,3,B,A,A,Z,F,B,A
134,2919157,Lapão,29,BA,16,F,0.0,3,1,3,0,1,1,1,1,1,1,412.7,492.6,454.8,367.1,0,1.0,480.0,C,D,3,B,B,A,Z,F,C,A
135,2804805,Nossa Senhora do Socorro,28,SE,22,F,0.0,1,1,1,5,1,0,1,1,1,1,541.9,626.0,620.7,571.8,0,1.0,620.0,E,E,5,D,B,C,G,B,A,D
136,4104204,Campo Largo,41,PR,19,M,0.0,3,1,1,2,1,0,1,1,1,1,478.1,573.2,553.8,463.1,0,1.0,640.0,C,D,4,C,B,A,Z,F,A,A
137,1501402,Belém,15,PA,23,M,0.0,1,1,2,0,2,0,1,1,1,1,491.6,433.4,444.8,393.8,0,1.0,560.0,H,H,7,C,B,A,Z,F,B,A
138,2911709,Guanambi,29,BA,18,M,0.0,3,1,3,0,1,1,1,1,1,1,462.8,531.5,350.6,487.4,1,1.0,500.0,E,E,6,H,B,A,Z,F,C,D
139,1100304,Vilhena,11,RO,17,F,0.0,1,1,2,0,2,0,1,1,1,1,557.6,608.8,603.2,602.4,0,1.0,760.0,E,G,2,B,A,B,A,C,B,A
140,3551504,Serrana,35,SP,22,F,1.0,3,1,1,3,1,0,1,1,1,1,426.3,487.0,394.2,351.0,1,4.0,0.0,C,B,2,B,B,B,D,A,A,A
141,1720200,São Miguel do Tocantins,17,TO,18,M,0.0,1,1,2,0,2,0,1,1,1,1,394.3,445.2,395.5,391.2,0,1.0,500.0,A,B,5,B,B,A,Z,F,B,A
